Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  40 0F00 8A8 | 0000  ... ..  40 0BAB 5FA | 0000  ... ..  00 264B 648 | 7D00 00 Low F |
|     1 | ....  ... ..  .. .... 8AC | ....  ... ..  .. .... 5F4 | ....  ... ..  .. .... 642 | 7B00 .. ... . |
|     2 | ....  ... ..  09 564A ... | ....  ... ..  09 .... ... | 19AF (G-4 B7) 40 .... 63C | .... F0 ... . |
|     3 | 1739  F-4 B5  41 .... 800 | 1A16  G-4 B7  41 .... 5EE | 19D5 (+ 0026) .. .... 636 | 7900 .. ... . |
|     4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 5DC | 19FF (+ 002A) .. .... 630 | 7700 .. ... . |
|     5 | ....  ... ..  .. .... 7FC | ....  ... ..  .. .... 5CA | 1A2D (+ 002E) .. .... 62A | 7500 .. ... . |
|     6 | ....  ... ..  .. .... 7F8 | ....  ... ..  .. .... 5B8 | 1A5F (+ 0032) .. .... 624 | 7300 .. ... . |
|     7 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5A6 | 1A95 (+ 0036) .. .... 61E | .... .. ... . |
|     8 | ....  ... ..  .. .... 7F4 | ....  ... ..  .. .... 594 | 1A5B (- 003A) .. .... 618 | 7100 .. ... . |
|     9 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 582 | 1A1D (- 003E) .. .... 612 | .... .. ... . |
|    10 | 1739  F-4 B5  41 .... 7F8 | ....  ... ..  .. .... 570 | 19DB (- 0042) .. .... 60C | 6F00 .. ... . |
|    11 | ....  ... ..  .. .... 7FC | ....  ... ..  .. .... 576 | 1995 (- 0046) .. .... 606 | 6D00 .. ... . |
|    12 | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 57C | 194B (F#4 B6) .. .... 600 | 6B00 .. ... . |
|    13 | ....  ... ..  .. .... 804 | ....  ... ..  .. .... 582 | 1999 (G-4 B7) .. .... 5FA | 6900 .. ... . |
|    14 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 588 | 1A13 (+ 007A) .. .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... 808 | ....  ... ..  .. .... 58E | 19EB (- 0028) .. .... 5F4 | 6700 .. ... . |
|    16 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 594 | ....  ... ..  09 .... ... | .... .. ... . |
|    17 | 1BA1  G#4 B8  41 .... 80C | ....  ... ..  .. .... 59A | 1A13  G-4 B7  41 .... 5EE | 6500 .. ... . |
|    18 | ....  ... ..  .. .... 810 | ....  ... ..  .. .... 5A0 | ....  ... ..  .. .... 5DC | 6300 .. ... . |
|    19 | ....  ... ..  .. .... 814 | ....  ... ..  .. .... 5A6 | ....  ... ..  .. .... 5CA | 6100 .. ... . |
|    20 | ....  ... ..  .. .... 818 | ....  ... ..  .. .... 5AC | ....  ... ..  .. .... 5B8 | 5F00 .. ... . |
|    21 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... 5A6 | .... .. ... . |
|    22 | ....  ... ..  .. .... 81C | ....  ... ..  .. .... 5B8 | ....  ... ..  .. .... 594 | 5D00 .. ... . |
|    23 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 5BE | ....  ... ..  .. .... 582 | .... .. ... . |
|    24 | 1A13  G-4 B7  41 .... 820 | ....  ... ..  .. .... 5C4 | ....  ... ..  .. .... 570 | 5B00 .. ... . |
|    25 | ....  ... ..  .. .... 824 | ....  ... ..  .. .... 5CA | ....  ... ..  .. .... 576 | 5900 .. ... . |
|    26 | ....  ... ..  .. .... 828 | ....  ... ..  .. .... 5D0 | ....  ... ..  .. .... 57C | 5700 .. ... . |
|    27 | ....  ... ..  .. .... 82C | ....  ... ..  .. .... 5D6 | ....  ... ..  .. .... 582 | 5500 .. ... . |
|    28 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5DC | ....  ... ..  .. .... 588 | .... .. ... . |
|    29 | ....  ... ..  .. .... 830 | ....  ... ..  .. .... 5E2 | ....  ... ..  .. .... 58E | 5300 .. ... . |
|    30 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 5E8 | ....  ... ..  .. .... 594 | .... .. ... . |
|    31 | 22D0  C-5 BC  41 .... 834 | ....  ... ..  .. .... 5EE | ....  ... ..  .. .... 59A | 5100 .. ... . |
|    32 | ....  ... ..  .. .... 838 | ....  ... ..  .. .... 5F4 | ....  ... ..  .. .... 5A0 | 4F00 .. ... . |
|    33 | ....  ... ..  .. .... 83C | ....  ... ..  .. .... 5FA | ....  ... ..  .. .... 5A6 | 4D00 .. ... . |
|    34 | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 600 | ....  ... ..  .. .... 5AC | 4B00 .. ... . |
|    35 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 606 | ....  ... ..  .. .... 5B2 | .... .. ... . |
|    36 | ....  ... ..  .. .... 844 | ....  ... ..  .. .... 60C | ....  ... ..  .. .... 5B8 | 4900 .. ... . |
|    37 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 612 | ....  ... ..  .. .... 5BE | .... .. ... . |
|    38 | 1BA1  G#4 B8  41 .... 848 | ....  ... ..  .. .... 618 | ....  ... ..  .. .... 5C4 | 4700 .. ... . |
|    39 | ....  ... ..  .. .... 84C | ....  ... ..  .. .... 61E | ....  ... ..  .. .... 5CA | 4500 .. ... . |
|    40 | ....  ... ..  .. .... 850 | ....  ... ..  .. .... 624 | ....  ... ..  .. .... 5D0 | 4300 .. ... . |
|    41 | ....  ... ..  .. .... 854 | ....  ... ..  .. .... 62A | ....  ... ..  .. .... 5D6 | 4100 .. ... . |
|    42 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 630 | ....  ... ..  .. .... 5DC | .... .. ... . |
|    43 | ....  ... ..  .. .... 858 | ....  ... ..  .. .... 636 | ....  ... ..  .. .... 5E2 | 3F00 .. ... . |
|    44 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 63C | ....  ... ..  .. .... 5E8 | .... .. ... . |
|    45 | 1A13  G-4 B7  41 .... 85C | ....  ... ..  .. .... 642 | ....  ... ..  .. .... 5EE | 3D00 .. ... . |
|    46 | ....  ... ..  .. .... 860 | ....  ... ..  .. .... 648 | ....  ... ..  .. .... 5F4 | 3B00 .. ... . |
|    47 | ....  ... ..  .. .... 864 | ....  ... ..  .. .... 64E | ....  ... ..  .. .... 5FA | 3900 .. ... . |
|    48 | ....  ... ..  .. .... 868 | ....  ... ..  .. .... 654 | ....  ... ..  .. .... 600 | 3700 .. ... . |
|    49 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 606 | .... .. ... . |
|    50 | ....  ... ..  .. .... 86C | ....  ... ..  .. .... 65A | ....  ... ..  .. .... 60C | 3500 .. ... . |
|    51 | ....  ... ..  09 204A ... | 1A1C (+ 0006) .. .... 660 | ....  ... ..  .. .... 612 | .... .. ... . |
|    52 | 22D0  C-5 BC  41 .... 870 | 1A26 (+ 000A) .. .... 666 | ....  ... ..  .. .... 618 | 3300 .. ... . |
|    53 | ....  ... ..  .. .... 874 | 1A34 (+ 000E) .. .... 660 | ....  ... ..  .. .... 61E | 3100 .. ... . |
|    54 | ....  ... ..  .. .... 878 | 1A22 (- 0012) .. .... 65A | ....  ... ..  .. .... 624 | 2F00 .. ... . |
|    55 | ....  ... ..  .. .... 87C | 1A0C (- 0016) .. .... 654 | ....  ... ..  .. .... 62A | 2D00 .. ... . |
|    56 | ....  ... ..  40 0F00 ... | 19F2 (- 001A) .. .... 64E | ....  ... ..  .. .... 630 | .... .. ... . |
|    57 | ....  ... ..  .. .... 880 | 19D4 (- 001E) .. .... 648 | ....  ... ..  .. .... 636 | 2B00 .. ... . |
|    58 | ....  ... ..  09 564A ... | 19B2 (- 0022) .. .... 642 | ....  ... ..  .. .... 63C | .... .. ... . |
|    59 | 1BA1  G#4 B8  41 .... 884 | 19D8 (+ 0026) .. .... 63C | ....  ... ..  .. .... 642 | 2900 .. ... . |
|    60 | ....  ... ..  .. .... 888 | 1A02 (+ 002A) .. .... 636 | ....  ... ..  .. .... 648 | 2700 .. ... . |
|    61 | ....  ... ..  .. .... 88C | 1A30 (+ 002E) .. .... 630 | ....  ... ..  .. .... 64E | 2500 .. ... . |
|    62 | ....  ... ..  .. .... 890 | 1A62 (+ 0032) .. .... 62A | ....  ... ..  .. .... 654 | 2300 .. ... . |
|    63 | ....  ... ..  40 0F00 ... | 1A98 (+ 0036) .. .... 624 | ....  ... ..  .. .... ... | .... .. ... . |
|    64 | ....  ... ..  .. .... 894 | 1A5E (- 003A) .. .... 61E | ....  ... ..  .. .... 65A | 2100 .. ... . |
|    65 | ....  ... ..  09 204A ... | 1A20 (- 003E) .. .... 618 | 1A19 (+ 0006) .. .... 660 | .... .. ... . |
|    66 | 1A13  G-4 B7  41 .... 898 | 19DE (- 0042) .. .... 612 | 1A23 (+ 000A) .. .... 666 | 1F00 .. ... . |
|    67 | ....  ... ..  .. .... 89C | 1998 (- 0046) .. .... 60C | 1A31 (+ 000E) .. .... 660 | 1D00 .. ... . |
|    68 | ....  ... ..  .. .... 8A0 | 194E (F#4 B6) .. .... 606 | 1A1F (- 0012) .. .... 65A | 1B00 .. ... . |
|    69 | ....  ... ..  .. .... 8A4 | 199C (G-4 B7) .. .... 600 | 1A09 (- 0016) .. .... 654 | 1900 .. ... . |
|    70 | ....  ... ..  40 0F00 ... | 1A16 (+ 007A) .. .... ... | 19EF (- 001A) .. .... 64E | .... .. ... . |
|    71 | ....  ... ..  .. .... 8A8 | 19EE (- 0028) .. .... 5FA | 19D1 (- 001E) .. .... 648 | 1700 .. ... . |
|    72 | ....  ... ..  09 564A ... | 1A44 (+ 0056) 40 .... 5F4 | 19AF (- 0022) .. .... 642 | .... .. ... . |
|    73 | 22D0  C-5 BC  41 .... 8AC | 1A9E (+ 005A) .. .... 5EE | 19D5 (+ 0026) .. .... 63C | 1500 .. ... . |
|    74 | ....  ... ..  .. .... 8B0 | 1AFC (G#4 B8) .. .... 5E8 | 19FF (+ 002A) .. .... 636 | 1300 .. ... . |
|    75 | ....  ... ..  .. .... 8B4 | 1A9A (G-4 B7) .. .... 5E2 | 1A2D (+ 002E) .. .... 630 | 1100 .. ... . |
|    76 | ....  ... ..  .. .... 8B8 | 1A34 (- 0066) .. .... 5DC | 1A5F (+ 0032) .. .... 62A | 0F00 .. ... . |
|    77 | ....  ... ..  40 0F00 ... | 19CA (- 006A) .. .... 5D6 | 1A95 (+ 0036) .. .... 624 | .... .. ... . |
|    78 | ....  ... ..  .. .... 8BC | 195C (- 006E) .. .... 5D0 | 1A5B (- 003A) .. .... 61E | 0D00 .. ... . |
|    79 | ....  ... ..  09 204A ... | 18EA (F#4 B6) .. .... 5CA | 1A1D (- 003E) .. .... 618 | .... .. ... . |
|    80 | 1BA1  G#4 B8  41 .... 8C0 | 1960 (G-4 B7) .. .... 5C4 | 19DB (- 0042) .. .... 612 | 0B00 .. ... . |
|    81 | ....  ... ..  .. .... 8C4 | 19DA (+ 007A) .. .... 5BE | 1995 (- 0046) .. .... 60C | 0900 .. ... . |
|    82 | ....  ... ..  .. .... 8C8 | 1A58 (+ 007E) .. .... 5B8 | 194B (F#4 B6) .. .... 606 | 0700 .. ... . |
|    83 | ....  ... ..  .. .... 8CC | 1ADA (+ 0082) .. .... 5B2 | 1999 (G-4 B7) .. .... 600 | 0500 .. ... . |
|    84 | ....  ... ..  40 0F00 ... | ....  ... ..  .. 0F00 ... | 1A13 (+ 007A) .. .... ... | .... .. ... . |
|    85 | ....  ... ..  .. .... 8D0 | 1B60 (G#4 B8) .. .... 5AC | 19EB (- 0028) .. .... 5FA | 0700 .. ... . |
|    86 | ....  ... ..  09 564A ... | ....  ... ..  09 0BAB ... | 1A41 (+ 0056) 40 .... 5F4 | .... .. ... . |
|    87 | 1A13  G-4 B7  41 .... 8D4 | 1BA4  G#4 B8  41 .... 5EE | 1A9B (+ 005A) .. .... 5EE | 0900 .. ... . |
|    88 | ....  ... ..  .. .... 8D8 | ....  ... ..  .. .... 5DC | 1AF9 (G#4 B8) .. .... 5E8 | 0B00 .. ... . |
|    89 | ....  ... ..  .. .... 8DC | ....  ... ..  .. .... 5CA | 1A97 (G-4 B7) .. .... 5E2 | 0D00 .. ... . |
|    90 | ....  ... ..  .. .... 8E0 | ....  ... ..  .. .... 5B8 | 1A31 (- 0066) .. .... 5DC | 0F00 .. ... . |
|    91 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5A6 | 19C7 (- 006A) .. .... 5D6 | .... .. ... . |
|    92 | ....  ... ..  .. .... 8E4 | ....  ... ..  .. .... 594 | 1959 (F#4 B6) .. .... 5D0 | 1100 .. ... . |
|    93 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 582 | 18E7 (- 0072) .. .... 5CA | .... .. ... . |
|    94 | 22D0  C-5 BC  41 .... 8E8 | ....  ... ..  .. .... 570 | 195D (G-4 B7) .. .... 5C4 | 1300 .. ... . |
|    95 | ....  ... ..  .. .... 8EC | ....  ... ..  .. .... 576 | 19D7 (+ 007A) .. .... 5BE | 1500 .. ... . |
|    96 | ....  ... ..  .. .... 8F0 | ....  ... ..  .. .... 57C | 1A55 (+ 007E) .. .... 5B8 | 1700 .. ... . |
|    97 | ....  ... ..  .. .... 8F4 | ....  ... ..  .. .... 582 | 1AD7 (+ 0082) .. .... 5B2 | 1900 .. ... . |
|    98 | ....  ... ..  40 0F00 ... | ....  ... ..  40 0F00 ... | 1A13 (- 00C4) .. .... ... | .... .. ... . |
|    99 | ....  ... ..  .. .... 8F8 | ....  ... ..  .. .... 588 | 1B5D (G#4 B8) .. .... 5AC | 1B00 .. ... . |
|   100 | ....  ... ..  09 564A ... | ....  ... ..  09 0BAB ... | ....  ... ..  09 .... ... | .... .. ... . |
|   101 | 1BA1  G#4 B8  41 .... 8FC | 173C  F-4 B5  41 .... 5EE | 1BA1  G#4 B8  41 .... 5EE | 1D00 .. ... . |
|   102 | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 5DC | ....  ... ..  .. .... 5DC | 1F00 .. ... . |
|   103 | ....  ... ..  .. .... 904 | ....  ... ..  .. .... 5CA | ....  ... ..  .. .... 5CA | 2100 .. ... . |
|   104 | ....  ... ..  .. .... 908 | ....  ... ..  .. .... 5B8 | ....  ... ..  .. .... 5B8 | 2300 .. ... . |
|   105 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5A6 | ....  ... ..  .. .... 5A6 | .... .. ... . |
|   106 | ....  ... ..  .. .... 90C | ....  ... ..  .. .... 594 | ....  ... ..  .. .... 594 | 2500 .. ... . |
|   107 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 582 | ....  ... ..  .. .... 582 | .... .. ... . |
|   108 | 1A13  G-4 B7  41 .... 910 | ....  ... ..  .. .... 570 | ....  ... ..  .. .... 570 | 2700 .. ... . |
|   109 | ....  ... ..  .. .... 914 | ....  ... ..  .. .... 576 | ....  ... ..  .. .... 576 | 2900 .. ... . |
|   110 | ....  ... ..  .. .... 918 | ....  ... ..  .. .... 57C | ....  ... ..  .. .... 57C | 2B00 .. ... . |
|   111 | ....  ... ..  .. .... 91C | ....  ... ..  .. .... 582 | ....  ... ..  .. .... 582 | 2D00 .. ... . |
|   112 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 588 | ....  ... ..  40 .... ... | .... .. ... . |
|   113 | ....  ... ..  .. .... 920 | ....  ... ..  .. .... 58E | ....  ... ..  .. .... 588 | 2F00 .. ... . |
|   114 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 594 | ....  ... ..  09 .... ... | .... .. ... . |
|   115 | 22D0  C-5 BC  41 .... 924 | ....  ... ..  .. .... 59A | 1739  F-4 B5  41 .... 5EE | 3100 .. ... . |
|   116 | ....  ... ..  .. .... 928 | ....  ... ..  .. .... 5A0 | ....  ... ..  .. .... 5DC | 3300 .. ... . |
|   117 | ....  ... ..  .. .... 92C | ....  ... ..  .. .... 5A6 | ....  ... ..  .. .... 5CA | 3500 .. ... . |
|   118 | ....  ... ..  .. .... 930 | ....  ... ..  .. .... 5AC | ....  ... ..  .. .... 5B8 | 3700 .. ... . |
|   119 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... 5A6 | .... .. ... . |
|   120 | ....  ... ..  .. .... 934 | ....  ... ..  .. .... 5B8 | ....  ... ..  .. .... 594 | 3900 .. ... . |
|   121 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 5BE | ....  ... ..  .. .... 582 | .... .. ... . |
|   122 | 1BA1  G#4 B8  41 .... 938 | ....  ... ..  .. .... 5C4 | ....  ... ..  .. .... 570 | 3B00 .. ... . |
|   123 | ....  ... ..  .. .... 93C | ....  ... ..  .. .... 5CA | ....  ... ..  .. .... 576 | 3D00 .. ... . |
|   124 | ....  ... ..  .. .... 940 | ....  ... ..  .. .... 5D0 | ....  ... ..  .. .... 57C | 3F00 .. ... . |
|   125 | ....  ... ..  .. .... 944 | ....  ... ..  .. .... 5D6 | ....  ... ..  .. .... 582 | 4100 .. ... . |
|   126 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 5DC | ....  ... ..  .. .... 588 | .... .. ... . |
|   127 | ....  ... ..  .. .... 948 | ....  ... ..  .. .... 5E2 | ....  ... ..  .. .... 58E | 4300 .. ... . |
|   128 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 5E8 | ....  ... ..  .. .... 594 | .... .. ... . |
|   129 | 1739  F-4 B5  41 .... 94C | ....  ... ..  .. .... 5EE | ....  ... ..  .. .... 59A | 4500 .. ... . |
|   130 | ....  ... ..  .. .... 950 | ....  ... ..  .. .... 5F4 | ....  ... ..  .. .... 5A0 | 4700 .. ... . |
|   131 | ....  ... ..  .. .... 954 | ....  ... ..  .. .... 5FA | ....  ... ..  .. .... 5A6 | 4900 .. ... . |
|   132 | ....  ... ..  .. .... 958 | ....  ... ..  .. .... 600 | ....  ... ..  .. .... 5AC | 4B00 .. ... . |
|   133 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 606 | ....  ... ..  .. .... 5B2 | .... .. ... . |
|   134 | ....  ... ..  .. .... 95C | ....  ... ..  .. .... 60C | ....  ... ..  .. .... 5B8 | 4D00 .. ... . |
|   135 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 612 | ....  ... ..  .. .... 5BE | .... .. ... . |
|   136 | 22D0  C-5 BC  41 .... 960 | ....  ... ..  .. .... 618 | ....  ... ..  .. .... 5C4 | 4F00 .. ... . |
|   137 | ....  ... ..  .. .... 964 | ....  ... ..  .. .... 61E | ....  ... ..  .. .... 5CA | 5100 .. ... . |
|   138 | ....  ... ..  .. .... 968 | ....  ... ..  .. .... 624 | ....  ... ..  .. .... 5D0 | 5300 .. ... . |
|   139 | ....  ... ..  .. .... 96C | ....  ... ..  .. .... 62A | ....  ... ..  .. .... 5D6 | 5500 .. ... . |
|   140 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 630 | ....  ... ..  .. .... 5DC | .... .. ... . |
|   141 | ....  ... ..  .. .... 970 | ....  ... ..  .. .... 636 | ....  ... ..  .. .... 5E2 | 5700 .. ... . |
|   142 | ....  ... ..  09 564A ... | ....  ... ..  .. .... 63C | ....  ... ..  .. .... 5E8 | .... .. ... . |
|   143 | 1BA1  G#4 B8  41 .... 974 | ....  ... ..  .. .... 642 | ....  ... ..  .. .... 5EE | 5900 .. ... . |
|   144 | ....  ... ..  .. .... 978 | ....  ... ..  .. .... 648 | ....  ... ..  .. .... 5F4 | 5B00 .. ... . |
|   145 | ....  ... ..  .. .... 97C | ....  ... ..  .. .... 64E | ....  ... ..  .. .... 5FA | 5D00 .. ... . |
|   146 | ....  ... ..  .. .... 980 | ....  ... ..  .. .... 654 | ....  ... ..  .. .... 600 | 5F00 .. ... . |
|   147 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... 65A | ....  ... ..  .. .... 606 | .... .. ... . |
|   148 | ....  ... ..  .. .... 984 | ....  ... ..  .. .... 660 | ....  ... ..  .. .... 60C | 6100 .. ... . |
|   149 | ....  ... ..  09 204A ... | ....  ... ..  .. .... 666 | ....  ... ..  .. .... 612 | .... .. ... . |
|   150 | 1A13  G-4 B7  41 .... 988 | ....  ... ..  .. .... 660 | ....  ... ..  .. .... 618 | 6300 .. ... . |
|   151 | ....  ... ..  .. .... 98C | ....  ... ..  .. .... 65A | ....  ... ..  .. .... 61E | 6500 .. ... . |
|   152 | ....  ... ..  .. .... 990 | ....  ... ..  .. .... 654 | ....  ... ..  .. .... 624 | 6700 .. ... . |
|   153 | ....  ... ..  .. .... 994 | ....  ... ..  .. .... 64E | ....  ... ..  .. .... 62A | 6900 .. ... . |
|   154 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 630 | .... .. ... . |
|   155 | ....  ... ..  .. .... 998 | ....  ... ..  .. .... 648 | ....  ... ..  .. .... 636 | 6B00 .. ... . |
