Load address: $0400 Init address: $2300 Play address: $2318
Calling initroutine with subtune 2
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 191E  F#4 B6  41 00A7 800 | 0151  D#0 83  11 00C8 800 | 0547  D#2 9B  41 00EE 100 | 0000 00 Low F |
|     1 | 6479 (F#6 CE) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 B4 ... . |
|     2 | 323C (F#5 C2) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 0547 (D#2 9B) 40 .... 240 | B000 .. ... . |
|     3 | 191E (F#4 B6) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|     4 | 6479 (F#6 CE) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|     5 | 323C (F#5 C2) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|     6 | 17B5  F-4 B5  41 .... 800 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|     7 | 5ED6 (F-6 CD) .. .... 8A0 | 0300 (F#1 92) .. .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|     8 | 2F6B (F-5 C1) 40 .... 940 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|     9 | 17B5 (F-4 B5) .. .... 9E0 | 0200 (B-0 8B) .. .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|    10 | 5ED6 (F-6 CD) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|    11 | 2F6B (F-5 C1) .. .... AE0 | 0100 (C-0 80) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|    12 | 151F  D#4 B3  41 .... 800 | 547D  D#6 CB  11 00E8 ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|    13 | 547D (D#6 CB) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|    14 | 2A3E (D#5 BF) 40 .... 940 | 547D (D#6 CB) 10 .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|    15 | 151F (D#4 B3) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|    16 | 547D (D#6 CB) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|    17 | 2A3E (D#5 BF) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|    18 | 191E  F#4 B6  41 .... 800 | 2A3E  D#5 BF  11 .... ... | 0547  D#2 9B  41 .... 100 | .... .. ... . |
|    19 | 6479 (F#6 CE) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    20 | 323C (F#5 C2) 40 .... 940 | 2A3E (D#5 BF) 10 .... ... | 0547 (D#2 9B) 40 .... 240 | B000 .. ... . |
|    21 | 191E (F#4 B6) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    22 | 6479 (F#6 CE) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    23 | 323C (F#5 C2) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    24 | 17B5  F-4 B5  41 .... 800 | 0151  D#0 83  11 .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|    25 | 5ED6 (F-6 CD) .. .... 8A0 | 2000 (B-4 BB) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|    26 | 2F6B (F-5 C1) 40 .... 940 | 0E00 (G#3 AC) 41 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|    27 | 17B5 (F-4 B5) .. .... 9E0 | 0C00 (F#3 AA) 40 .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|    28 | 5ED6 (F-6 CD) .. .... A80 | 3000 (F#5 C2) 80 .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|    29 | 2F6B (F-5 C1) .. .... AE0 | 1500 (D#4 B3) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|    30 | 151F  D#4 B3  41 .... 800 | 2000 (B-4 BB) .. .... ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|    31 | 547D (D#6 CB) .. .... 8A0 | 1000 (B-3 AF) .. .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|    32 | 2A3E (D#5 BF) 40 .... 940 | 3000 (F#5 C2) .. .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|    33 | 151F (D#4 B3) .. .... 9E0 | 0D00 (G-3 AB) 10 .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|    34 | 547D (D#6 CB) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|    35 | 2A3E (D#5 BF) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|    36 | 191E  F#4 B6  41 .... 800 | 0151  D#0 83  11 00C8 ... | 04B4  C#2 99  41 .... 100 | .... .. ... . |
|    37 | 6479 (F#6 CE) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    38 | 323C (F#5 C2) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 04B4 (C#2 99) 40 .... 240 | B000 .. ... . |
|    39 | 191E (F#4 B6) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    40 | 6479 (F#6 CE) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    41 | 323C (F#5 C2) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    42 | 1C31  G#4 B8  41 .... 800 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|    43 | 70C7 (G#6 D0) .. .... 8A0 | 0300 (F#1 92) .. .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|    44 | 3863 (G#5 C4) 40 .... 940 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|    45 | 1C31 (G#4 B8) .. .... 9E0 | 0200 (B-0 8B) .. .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|    46 | 70C7 (G#6 D0) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|    47 | 3863 (G#5 C4) .. .... AE0 | 0100 (C-0 80) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|    48 | 1FA5  A#4 BA  41 .... 800 | ....  ... ..  .. .... ... | 0547  D#2 9B  41 .... 100 | .... .. ... . |
|    49 | 7E97 (A#6 D2) .. .... 8A0 | 0200 (B-0 8B) .. .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    50 | 3F4B (A#5 C6) 40 .... 940 | 0300 (F#1 92) .. .... ... | 0547 (D#2 9B) 40 .... 240 | B000 .. ... . |
|    51 | 1FA5 (A#4 BA) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    52 | 7E97 (A#6 D2) .. .... A80 | ....  ... ..  10 .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    53 | 3F4B (A#5 C6) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    54 | 191E  F#4 B6  41 .... 800 | 2A3E  D#5 BF  11 00E8 ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|    55 | 6479 (F#6 CE) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|    56 | 323C (F#5 C2) 40 .... 940 | 2A3E (D#5 BF) 10 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|    57 | 191E (F#4 B6) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|    58 | 6479 (F#6 CE) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|    59 | 323C (F#5 C2) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|    60 | 151F  D#4 B3  41 .... 800 | 547D  D#6 CB  11 .... ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|    61 | 547D (D#6 CB) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|    62 | 2A3E (D#5 BF) 40 .... 940 | 547D (D#6 CB) 10 .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|    63 | 151F (D#4 B3) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|    64 | 547D (D#6 CB) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|    65 | 2A3E (D#5 BF) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|    66 | 1FA5  A#4 BA  41 .... 800 | 0151  D#0 83  11 00C8 ... | 0547  D#2 9B  41 .... 100 | .... .. ... . |
|    67 | 7E97 (A#6 D2) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    68 | 3F4B (A#5 C6) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 0547 (D#2 9B) 40 .... 240 | B000 .. ... . |
|    69 | 1FA5 (A#4 BA) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    70 | 7E97 (A#6 D2) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    71 | 3F4B (A#5 C6) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    72 | 191E  F#4 B6  41 .... 800 | 0151  D#0 83  11 00E8 ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|    73 | 6479 (F#6 CE) .. .... 8A0 | 2000 (B-4 BB) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|    74 | 323C (F#5 C2) 40 .... 940 | 0E00 (G#3 AC) 41 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|    75 | 191E (F#4 B6) .. .... 9E0 | 0C00 (F#3 AA) 40 .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|    76 | 6479 (F#6 CE) .. .... A80 | 3000 (F#5 C2) 80 .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|    77 | 323C (F#5 C2) .. .... AE0 | 1500 (D#4 B3) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|    78 | 151F  D#4 B3  41 .... 800 | 0151  D#0 83  11 00C8 ... | 0547  D#2 9B  41 .... 100 | .... .. ... . |
|    79 | 547D (D#6 CB) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    80 | 2A3E (D#5 BF) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 0547 (D#2 9B) 40 .... 240 | B000 .. ... . |
|    81 | 151F (D#4 B3) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    82 | 547D (D#6 CB) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    83 | 2A3E (D#5 BF) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    84 | 1FA5  A#4 BA  41 .... 800 | 2A3E  D#5 BF  11 00E8 ... | 05ED  F-2 9D  41 .... 100 | .... .. ... . |
|    85 | 7E97 (A#6 D2) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    86 | 3F4B (A#5 C6) 40 .... 940 | 2A3E (D#5 BF) 10 .... ... | 05ED (F-2 9D) 40 .... 240 | B000 .. ... . |
|    87 | 1FA5 (A#4 BA) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    88 | 7E97 (A#6 D2) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    89 | 3F4B (A#5 C6) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    90 | 25A2  C#5 BD  41 .... 800 | 547D  D#6 CB  11 .... ... | 0647  F#2 9E  41 .... 100 | .... .. ... . |
|    91 | 968B (C#7 D5) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    92 | 4B45 (C#6 C9) 40 .... 940 | 547D (D#6 CB) 10 .... ... | 0647 (F#2 9E) 40 .... 240 | B000 .. ... . |
|    93 | 25A2 (C#5 BD) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|    94 | 968B (C#7 D5) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|    95 | 4B45 (C#6 C9) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|    96 | 2187  B-4 BB  41 .... 800 | 0151  D#0 83  11 00C8 ... | 0430  B-1 97  41 .... 100 | .... .. ... . |
|    97 | 861E (B-6 D3) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|    98 | 430F (B-5 C7) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 0430 (B-1 97) 40 .... 240 | B000 .. ... . |
|    99 | 2187 (B-4 BB) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|   100 | 861E (B-6 D3) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|   101 | 430F (B-5 C7) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|   102 | 191E  F#4 B6  41 .... 800 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|   103 | 6479 (F#6 CE) .. .... 8A0 | 0300 (F#1 92) .. .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|   104 | 323C (F#5 C2) 40 .... 940 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|   105 | 191E (F#4 B6) .. .... 9E0 | 0200 (B-0 8B) .. .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|   106 | 6479 (F#6 CE) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|   107 | 323C (F#5 C2) .. .... AE0 | 0100 (C-0 80) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|   108 | 151F  D#4 B3  41 .... 800 | 547D  D#6 CB  11 00E8 ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|   109 | 547D (D#6 CB) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|   110 | 2A3E (D#5 BF) 40 .... 940 | 547D (D#6 CB) 10 .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|   111 | 151F (D#4 B3) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|   112 | 547D (D#6 CB) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|   113 | 2A3E (D#5 BF) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|   114 | 2187  B-4 BB  41 .... 800 | 2A3E  D#5 BF  11 .... ... | 0430  B-1 97  41 .... 100 | .... .. ... . |
|   115 | 861E (B-6 D3) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|   116 | 430F (B-5 C7) 40 .... 940 | 2A3E (D#5 BF) 10 .... ... | 0430 (B-1 97) 40 .... 240 | B000 .. ... . |
|   117 | 2187 (B-4 BB) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|   118 | 861E (B-6 D3) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|   119 | 430F (B-5 C7) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|   120 | 191E  F#4 B6  41 .... 800 | 0151  D#0 83  11 .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|   121 | 6479 (F#6 CE) .. .... 8A0 | 2000 (B-4 BB) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|   122 | 323C (F#5 C2) 40 .... 940 | 0E00 (G#3 AC) 41 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|   123 | 191E (F#4 B6) .. .... 9E0 | 0C00 (F#3 AA) 40 .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|   124 | 6479 (F#6 CE) .. .... A80 | 3000 (F#5 C2) 80 .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|   125 | 323C (F#5 C2) .. .... AE0 | 1500 (D#4 B3) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|   126 | 151F  D#4 B3  41 .... 800 | 2000 (B-4 BB) .. .... ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|   127 | 547D (D#6 CB) .. .... 8A0 | 1000 (B-3 AF) .. .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|   128 | 2A3E (D#5 BF) 40 .... 940 | 3000 (F#5 C2) .. .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|   129 | 151F (D#4 B3) .. .... 9E0 | 0D00 (G-3 AB) 10 .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|   130 | 547D (D#6 CB) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|   131 | 2A3E (D#5 BF) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|   132 | 2187  B-4 BB  41 .... 800 | 0151  D#0 83  11 00C8 ... | 0430  B-1 97  41 .... 100 | .... .. ... . |
|   133 | 861E (B-6 D3) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|   134 | 430F (B-5 C7) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | 0430 (B-1 97) 40 .... 240 | B000 .. ... . |
|   135 | 2187 (B-4 BB) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|   136 | 861E (B-6 D3) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|   137 | 430F (B-5 C7) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|   138 | 2A3E  D#5 BF  41 .... 800 | 0151  D#0 83  11 .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|   139 | A8FA (D#7 D7) .. .... 8A0 | 3100 (F#5 C2) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|   140 | 547D (D#6 CB) 40 .... 940 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|   141 | 2A3E (D#5 BF) .. .... 9E0 | 0800 (B-2 A3) 40 .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|   142 | A8FA (D#7 D7) .. .... A80 | 0600 (F#2 9E) .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|   143 | 547D (D#6 CB) .. .... AE0 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|   144 | 25A2  C#5 BD  41 .... 800 | 0400 (B-1 97) .. .... ... | 04B4  C#2 99  41 .... 100 | .... .. ... . |
|   145 | 968B (C#7 D5) .. .... 8A0 | 0300 (F#1 92) .. .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|   146 | 4B45 (C#6 C9) 40 .... 940 | ....  ... ..  .. .... ... | 04B4 (C#2 99) 40 .... 240 | B000 .. ... . |
|   147 | 25A2 (C#5 BD) .. .... 9E0 | 0200 (B-0 8B) .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|   148 | 968B (C#7 D5) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|   149 | 4B45 (C#6 C9) .. .... AE0 | 0100 (C-0 80) .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|   150 | 1C31  G#4 B8  41 .... 800 | 547D  D#6 CB  11 00E8 ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|   151 | 70C7 (G#6 D0) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|   152 | 3863 (G#5 C4) 40 .... 940 | 547D (D#6 CB) 10 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|   153 | 1C31 (G#4 B8) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|   154 | 70C7 (G#6 D0) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|   155 | 3863 (G#5 C4) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|   156 | 17B5  F-4 B5  41 .... 800 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|   157 | 5ED6 (F-6 CD) .. .... 8A0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
|   158 | 2F6B (F-5 C1) 40 .... 940 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 680 | 2C00 .. ... . |
|   159 | 17B5 (F-4 B5) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 6C0 | 2000 .. ... . |
|   160 | 5ED6 (F-6 CD) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 700 | 1200 .. ... . |
|   161 | 2F6B (F-5 C1) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 740 | 0400 .. ... . |
|   162 | 25A2  C#5 BD  41 .... 800 | 2A3E  D#5 BF  11 .... ... | 04B4  C#2 99  41 .... 100 | .... .. ... . |
|   163 | 968B (C#7 D5) .. .... 8A0 | 4800 (C#6 C9) 81 .... ... | 4800 (C#6 C9) 81 .... 1A0 | C000 .. ... . |
|   164 | 4B45 (C#6 C9) 40 .... 940 | 2A3E (D#5 BF) 10 .... ... | 04B4 (C#2 99) 40 .... 240 | B000 .. ... . |
|   165 | 25A2 (C#5 BD) .. .... 9E0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2E0 | A000 .. ... . |
|   166 | 968B (C#7 D5) .. .... A80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 380 | 9000 .. ... . |
|   167 | 4B45 (C#6 C9) .. .... AE0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 3E0 | 8000 .. ... . |
|   168 | 1C31  G#4 B8  41 .... 800 | 0151  D#0 83  11 .... ... | ....  ... ..  .. .... 440 | 7800 .. ... . |
|   169 | 70C7 (G#6 D0) .. .... 8A0 | 2000 (B-4 BB) 81 .... ... | ....  ... ..  .. .... 4A0 | 7000 .. ... . |
|   170 | 3863 (G#5 C4) 40 .... 940 | 0E00 (G#3 AC) 41 .... ... | ....  ... ..  .. .... 500 | 6800 .. ... . |
|   171 | 1C31 (G#4 B8) .. .... 9E0 | 0C00 (F#3 AA) 40 .... ... | ....  ... ..  .. .... 540 | 6000 .. ... . |
|   172 | 70C7 (G#6 D0) .. .... A80 | 3000 (F#5 C2) 80 .... ... | ....  ... ..  .. .... 580 | 5800 .. ... . |
|   173 | 3863 (G#5 C4) .. .... AE0 | 1500 (D#4 B3) .. .... ... | ....  ... ..  .. .... 5C0 | 5000 .. ... . |
|   174 | 17B5  F-4 B5  41 .... 800 | 2000 (B-4 BB) .. .... ... | ....  ... ..  .. .... 600 | 4400 .. ... . |
|   175 | 5ED6 (F-6 CD) .. .... 8A0 | 1000 (B-3 AF) .. .... ... | ....  ... ..  .. .... 640 | 3800 .. ... . |
