Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 00 Off F |
|     1 | ....  ... ..  09 00B5 ... | ....  ... ..  09 008C ... | ....  ... ..  09 009B ... | .... F1 Low . |
|     2 | 048A  ... ..  .. .... 800 | 0C1F  ... ..  .. .... 534 | 307E  ... ..  .. .... 8BA | 9000 .. ... . |
|     3 | 5C8A  F-6 CD  81 .... ... | 0C1F  F#3 AA  21 .... 513 | 307E  F#5 C2  41 .... 8CA | .... .. ... . |
|     4 | 060F (F#2 9E) 41 .... ... | 183F (F#4 B6) 10 .... 4F2 | C1FB (F#7 DA) 12 .... 8DA | 1800 .. ... . |
|     5 | 05B8 (F-2 9D) 40 .... ... | 0E6A (A-3 AD) 20 .... 4D1 | 307E (F#5 C2) 10 .... 8EA | C000 .. ... . |
|     6 | ....  ... ..  .. .... ... | ....  ... ..  40 .... 4B0 | ....  ... ..  40 .... 8FA | .... .. ... . |
|     7 | ....  ... ..  09 0692 ... | 1B37 (G#4 B8) .. .... 48F | 366F (G#5 C4) 20 .... 90A | .... .. ... . |
|     8 | 060F  ... ..  .. .... 328 | ....  ... ..  .. .... 46E | 1800 (F#4 B6) 12 .... 91B | 2000 .. ... . |
|     9 | 0C1F  F#3 AA  11 .... 350 | 159A (E-4 B4) .. .... 44D | 366F (G#5 C4) 10 .... 92B | .... .. ... . |
|    10 | 060F (F#2 9E) 41 .... 378 | ....  ... ..  .. .... 42C | ....  ... ..  40 .... 93B | 2100 .. ... . |
|    11 | ....  ... ..  .. .... 3A0 | 122A (C#4 B1) 20 .... 40B | ....  ... ..  20 .... 94B | 2200 .. ... . |
|    12 | ....  ... ..  .. .... 3C8 | ....  ... ..  .. .... 3EA | 1800 (F#4 B6) 12 .... 95C | 2300 .. ... . |
|    13 | ....  ... ..  .. .... 3F0 | 183F (F#4 B6) 10 .... 3CA | 307E (F#5 C2) 10 .... 96C | 2400 .. ... . |
|    14 | ....  ... ..  .. .... 418 | 0E6A (A-3 AD) 20 .... 3A9 | ....  ... ..  40 .... 97C | 2500 .. ... . |
|    15 | ....  ... ..  .. .... 440 | ....  ... ..  40 .... 388 | ....  ... ..  20 .... 98C | 2600 .. ... . |
|    16 | ....  ... ..  .. .... 468 | 1B37 (G#4 B8) .. .... 367 | C1FB (F#7 DA) 12 .... 99D | 2700 .. ... . |
|    17 | ....  ... ..  .. .... 490 | ....  ... ..  .. .... 346 | 307E (F#5 C2) 10 .... 9AD | 2800 .. ... . |
|    18 | ....  ... ..  .. .... 4B8 | 159A (E-4 B4) .. .... 325 | ....  ... ..  40 .... 9BD | .... .. ... . |
|    19 | ....  ... ..  40 .... 4E0 | ....  ... ..  .. .... 304 | 2454 (C#5 BD) 20 .... 9CD | .... .. ... . |
|    20 | ....  ... ..  .. .... 508 | 122A (C#4 B1) 20 .... 2E3 | 9152 (C#7 D5) 12 .... 9DE | .... .. ... . |
|    21 | ....  ... ..  .. .... 530 | ....  ... ..  .. .... 2C2 | 2454 (C#5 BD) 10 .... 9EE | .... .. ... . |
|    22 | ....  ... ..  .. .... 558 | 183F (F#4 B6) 10 .... 2A2 | ....  ... ..  40 .... 9FE | .... .. ... . |
|    23 | ....  ... ..  .. .... 580 | 0E6A (A-3 AD) 20 .... 281 | ....  ... ..  20 .... A0E | .... .. ... . |
|    24 | ....  ... ..  .. .... 5A8 | ....  ... ..  40 .... 260 | 9152 (C#7 D5) 12 .... A1F | .... .. ... . |
|    25 | ....  ... ..  09 00F5 ... | 1B37 (G#4 B8) .. .... 23F | 2454 (C#5 BD) 10 .... A2F | .... .. ... . |
|    26 | 0915  ... ..  .. .... 8A8 | ....  ... ..  .. .... 21E | ....  ... ..  40 .... A3F | 9000 .. ... . |
